# mangaid     objra           objdec             nsa_z       W80_mean             W80_75th             frac_spx                flag1   flag2  
  1-136304    256.01730405    36.4373676031      0.0236332   205.6919455232388    216.85303514850344   0.0673758865248227      0       0      
  1-136305    255.915542507   36.3849337159      0.0246675   ""                   ""                   0.0                     0       0      
  1-136306    255.869931612   36.4366645326      0.0231691   ""                   ""                   0.0                     0       0      
  1-137528    134.40495469    41.0439158135      0.0874946   539.8562300437329    564.2971246129564    0.19911504424778761     0       0      
  1-137548    134.674576789   41.2364198815      0.147354    ""                   ""                   0.0                     0       0      
  1-137714    136.039205522   42.3034211072      0.0265976   288.7380191756316    288.7380191756316    0.005319148936170213    0       0      
  1-137730    136.778259104   42.5951034895      0.0415657   209.5305635664739    212.0607028800282    0.7211255774884502      0       0      
  1-137795    135.722564417   43.2477264356      0.0436196   213.09030551583345   214.4568690142658    0.5901089689857502      0       0      
  1-137797    136.363181204   44.1438800822      0.0533346   211.62695703933892   219.249201282741     0.5031315240083507      0       0      
  1-137799    136.842484254   43.275431327       0.0415027   444.9769258173097    460.96246007395956   0.10485436893203884     0       0      
  1-137801    136.68645847    44.2609809065      0.0490247   ""                   ""                   0.0                     0       0      
  1-137801    136.68645847    44.2609809065      0.0490247   ""                   ""                   0.0                     0       0      
  1-137844    139.427012288   44.1006868066      0.0323374   ""                   ""                   0.0                     0       0      
  1-137845    139.308858804   44.4891619278      0.0320271   294.2434961269156    325.57907348953484   0.1926605504587156      0       0      
  1-137845    139.308858804   44.4891619278      0.0320271   475.80615202762345   505.59105432413503   0.18695652173913044     0       0      
  1-137853    138.935541667   44.2360887374      0.0321364   388.5212231942405    397.1645367498833    0.0707070707070707      0       0      
  1-137853    138.935541667   44.2360887374      0.0321364   468.70721132926326   438.7979233322617    0.16279069767441862     0       0      
  1-137870    136.730098431   44.121516356       0.0494434   208.9358469336029    213.258785947147     0.5025097601784718      0       0      
  1-137875    137.335924379   45.0655135856      0.0510126   213.09579799689936   220.4472843498598    0.685933147632312       0       0      
  1-137883    137.874763008   45.4683204593      0.0268253   401.40370003466626   447.18450480209333   0.5254437869822485      1       4      
  1-137890    137.219338724   44.9322670576      0.0265684   280.09526862894893   297.1246006454632    0.5588235294117647      0       0      
  1-137898    137.562412054   44.6841342226      0.0346482   230.3586988142063    233.62619808816666   0.1724137931034483      0       0      
  1-137908    139.55919103    45.6516888989      0.0269041   197.81682641539356   213.258785947147     0.0476878612716763      0       0      
  1-137912    139.647743513   44.5967370112      0.014213    190.4116416050399    191.69329073900855   0.5532718120805369      0       0      
  1-137915    139.797122285   45.3665231283      0.031543    421.72523962581874   421.72523962581874   0.0035460992907801418   0       0      
  1-137961    139.720468628   45.7277823533      0.026438    232.71693861758538   240.8146964908795    0.4028776978417266      0       0      
  1-138021    145.443221426   46.9738383647      0.0255975   233.37753933838727   227.63578275257265   0.02888283378746594     0       0      
